10000 2 C-Index Z-Index
-124.848197 -68.281034 X
25.723558 48.68092 Y
-76.684412 29.835897 110001 101001
-82.019016 33.73112 110010 101100
-103.078727 48.337114 011111 011111
-114.119468 47.707413 001111 010111
-87.262606 26.610583 101000 100010
-73.484705 31.17881 111001 101011
-109.244696 39.414639 010100 011000
-92.789556 43.723495 100110 110100
-114.01436 28.029218 001000 000010
-69.244848 39.097991 111100 111010
-107.449708 31.816245 010010 001100
-84.672708 34.153635 101010 100110
-123.151643 37.88551 000100 010000
-105.085875 44.335285 010110 011100
-104.884652 46.969664 010111 011101
-86.6346 31.278957 101001 100011
-89.500709 48.035918 100111 110101
-75.93792 34.184105 110010 101100
-120.428979 34.822681 000011 000101
-105.29445 39.293306 010100 011000
-98.309406 30.457836 011001 001011
-75.073541 26.285789 111000 101010
-86.337267 39.859372 101100 110010
-108.535557 40.37377 010101 011001
-98.820286 32.154361 011010 001110
-116.761329 28.535202 001000 000010
-115.960107 30.097684 001001 000011
-91.783842 29.134575 100001 100001
-107.587001 47.081445 010111 011101
-115.453092 40.446857 001101 010011
-97.536532 27.57912 011000 001010
-117.307002 28.908128 001001 000011
-109.180293 40.622006 010101 011001
-110.614183 32.487362 010010 001100
-97.991605 48.649961 011111 011111
-113.540968 29.600502 001001 000011
-109.020417 26.946177 010000 001000
-95.263482 33.17995 100010 100100
-106.868871 30.302889 010001 001001
-110.614918 35.083106 010011 001101
-116.485301 32.860515 001010 000110
-69.536533 27.593772 111000 101010
-85.988213 41.979254 101101 110011
-98.493332 48.289085 011111 011111
-106.117032 31.578543 010010 001100
-79.609701 47.952484 110111 111101
-115.939774 40.314837 001101 010011
-89.169736 25.891593 101000 100010
-88.707765 36.825098 101011 100111
-73.458536 44.806893 111110 111110
-117.407295 30.493816 001001 000011
-93.643112 27.382091 100000 100000
-95.894904 29.431355 100001 100001
-68.57737 35.481646 111011 101111
-79.140123 32.434602 110010 101100
-97.108698 46.709434 011111 011111
-103.813375 36.806288 010011 001101
-119.008369 28.914976 000001 000001
-77.667116 42.186396 110101 111001
-90.5355 35.964992 100011 100101
-70.75377 42.511161 111101 111011
-115.947104 43.828262 001110 010110
-116.649382 35.729298 001011 000111
-76.577122 33.20193 110010 101100
-114.263672 41.34281 001101 010011
-86.240004 46.363841 101111 110111
-116.163259 40.499225 001101 010011
-108.762053 42.873766 010101 011001
-121.711878 39.94725 000100 010000
-102.315718 39.109079 011100 011010
-74.393772 31.869394 111010 101110
-109.350094 30.749827 010001 001001
-114.339336 40.611446 001101 010011
-109.59109 44.062042 010110 011100
-72.189898 46.051137 111111 111111
-84.487754 41.11479 101101 110011
-110.405331 25.804156 010000 001000
-121.044969 37.426239 000100 010000
-73.871623 48.468337 111111 111111
-76.019448 33.299927 110010 101100
-114.007144 27.81792 001000 000010
-97.064476 26.405781 011000 001010
-112.59099 42.431884 001101 010011
-115.61876 37.25434 001100 010010
-117.658995 39.117605 001100 010010
-100.759001 39.875408 011100 011010
-114.885361 40.482342 001101 010011
-69.671042 37.534435 111100 111010
-101.286869 35.147811 011011 001111
-70.613626 30.402455 111001 101011
-71.118314 43.017562 111110 111110
-72.911163 45.127723 111110 111110
-88.948247 42.555033 101101 110011
-103.900755 26.272083 010000 001000
-119.39781 31.378687 000001 000001
-113.487583 41.106534 001101 010011
-104.325835 25.725333 010000 001000
-100.024874 42.549893 011101 011011
