2000 2 C-Index Z-Index
-124.85691 -68.276338 X
25.714011 48.658922 Y
-90.890712 26.961063 10010000 10000010
-105.987377 47.119278 01011110 01110110
-115.890069 32.575649 00100100 00011000
-124.811006 26.400576 00000000 00000000
-103.36549 44.839516 01101101 01111001
-96.579318 47.905569 01111111 01111111
-73.184968 44.391957 11101101 11111001
-90.858319 28.365132 10010001 10000011
-120.455776 28.85772 00010010 00000110
-82.813394 47.244574 10111111 11011111
-121.160933 32.423232 00010100 00010010
-111.731393 32.170374 00110100 00011010
-124.596107 31.49366 00000100 00010000
-69.996592 42.387156 11111011 11101111
-110.365154 34.562592 01000110 00110100
-121.778858 44.311296 00001100 01010000
-94.838558 43.854289 10001100 11010000
-83.42473 32.394058 10110100 10011010
-72.467088 42.707293 11101011 11101101
-73.248356 47.252479 11101111 11111101
-92.62907 32.443979 10010100 10010010
-120.918924 28.543068 00010001 00000011
-104.410029 39.435974 01011001 01100011
-77.45031 42.414477 11011011 11100111
-70.772554 38.826414 11111001 11101011
-111.919104 35.075862 00110110 00011110
-68.276338 32.318251 11110100 10111010
-77.599491 31.430299 11010011 10100111
-116.151186 33.101507 00100101 00011001
-81.808933 38.128662 11001000 11100000
-111.230345 29.916588 00110010 00001110
-89.466127 27.544576 10100001 10001001
-113.979771 44.472861 00111101 01011011
-123.593151 45.558682 00001101 01010001
-111.813409 35.644721 00110110 00011110
-68.935429 36.330656 11110111 10111111
-72.896838 47.39261 11101111 11111101
-86.306786 30.712457 10100011 10001101
-93.309746 33.018731 10000101 10010001
-80.795175 45.599938 11001101 11110001
-86.183841 41.899287 10101011 11001101
-100.605756 29.988766 01100010 00101100
-92.388676 34.920715 10010110 10010110
-85.087243 27.969907 10110001 10001011
-105.304796 33.516789 01010101 00110011
-82.980367 42.344733 10111011 11001111
-119.274219 41.963283 00011011 01000111
-99.246023 38.721348 01111001 01101011
-122.856887 39.833888 00001001 01000001
-114.510769 29.814509 00100010 00001100
-91.282039 27.843382 10010001 10000011
-76.126618 43.129126 11011100 11110010
-97.338309 35.91413 01110111 00111111
-98.149053 39.432247 01111001 01101011
-96.407629 38.729476 10001001 11000001
-106.579109 37.969137 01011000 01100010
-76.985097 47.533827 11011111 11110111
-113.668676 39.68135 00111001 01001011
-104.611731 44.382781 01011101 01110011
-76.968915 33.595153 11010101 10110011
-79.599076 31.664946 11000100 10110000
-73.135409 27.771599 11100001 10101001
-102.425461 33.679104 01100101 00111001
