20 2 C-Index Z-Index
-123.493134 -68.367424 X
26.158335 48.62334 Y
-87.229903 44.829537 1011 1101
-107.093197 45.9807 0111 0111
-99.472808 45.897225 0111 0111
-123.493134 26.158335 0000 0000
-83.72952 35.025691 1001 1001
-78.782263 37.35645 1101 1011
-100.089168 28.060963 0100 0010
-68.367424 47.232862 1111 1111
-107.88488 43.243203 0111 0111
-117.460913 31.978498 0001 0001
-94.68745 33.372599 1001 1001
-90.085863 28.792015 1000 1000
-101.938552 29.393238 0100 0010
-84.490905 43.004604 1010 1100
-116.909247 38.064502 0010 0100
-77.084332 48.62334 1111 1111
-82.271033 31.10348 1000 1000
-92.155975 29.888318 1000 1000
-120.951092 40.943397 0010 0100
-73.886388 31.236223 1100 1010
